profile,scenario,variable,trials,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_memory_mb,mean_tokens,mean_cache_hit_rate
ADV1: Batch Discovery,context_scaling,64,30,92.66981333327446,92.78055000004315,93.24220000053174,93.51860000060697,4.8065185546875e-05,1202,0.7
ADV1: Batch Discovery,context_scaling,128,30,92.73471999992277,92.76850000014747,93.79669999998441,94.24140000010084,4.9591064453125e-05,1285,0.7
ADV1: Batch Discovery,context_scaling,256,30,92.63924000006227,92.63585000007879,93.39419999923848,93.39970000019093,4.9591064453125e-05,1451,0.7
ADV1: Batch Discovery,context_scaling,512,30,92.61502333320095,92.55995000012263,93.56579999985115,93.58119999978953,4.9591064453125e-05,1782,0.7
ADV1: Batch Discovery,context_scaling,1024,30,92.62667000002693,92.64034999978321,93.57649999947171,94.08150000035675,4.9591064453125e-05,2445,0.7
ADV1: Batch Discovery,server_scaling,1,30,77.3992699999629,77.41035000026386,78.03020000028482,78.41349999944214,4.8065185546875e-05,1052,0.7
ADV1: Batch Discovery,server_scaling,5,30,77.41453666664408,77.3205999998936,78.10150000022986,78.63170000018727,4.9591064453125e-05,1136,0.7
ADV1: Batch Discovery,server_scaling,10,30,77.44653666674519,77.44004999995013,78.06559999971796,78.34050000019488,4.9591064453125e-05,1241,0.7
ADV1: Batch Discovery,server_scaling,20,30,92.76338333329477,92.60170000015933,94.00840000034805,94.0974000004644,4.9591064453125e-05,1451,0.7
ADV1: Batch Discovery,server_scaling,30,30,108.1497033334017,108.09579999977359,109.11560000022291,109.15310000018508,4.9591064453125e-05,1661,0.7
ADV1: Batch Discovery,server_scaling,40,30,108.12031666670616,108.10499999979584,109.14920000050188,109.16769999948883,4.9591064453125e-05,1871,0.7
ADV1: Batch Discovery,server_scaling,50,30,123.55803333330186,123.56420000014623,124.45040000056906,125.33029999940482,8.087158203125e-05,2081,0.7
ADV2: Request Batching,context_scaling,64,30,90.80870333345956,92.7321000003758,93.6016000005111,93.72180000082153,4.9591064453125e-05,1202,0.0
ADV2: Request Batching,context_scaling,128,30,91.59197333322784,92.52100000003338,93.24809999998251,93.89160000046104,4.9591064453125e-05,1285,0.0
ADV2: Request Batching,context_scaling,256,30,90.42454666672104,92.73425000037605,93.96130000004632,94.4707999997263,4.9591064453125e-05,1451,0.0
ADV2: Request Batching,context_scaling,512,30,92.21554333331976,92.75294999997641,93.47659999912139,93.53060000012192,4.9591064453125e-05,1782,0.0
ADV2: Request Batching,context_scaling,1024,30,92.63526333340148,92.56200000027093,93.77690000019356,93.78250000008848,4.9591064453125e-05,2445,0.0
ADV2: Request Batching,server_scaling,1,30,77.44745666659583,77.4483499994858,78.09109999925568,78.13119999991613,4.9591064453125e-05,1052,0.0
ADV2: Request Batching,server_scaling,5,30,77.4310333333536,77.4245500001598,78.50899999993999,78.60679999976128,4.9591064453125e-05,1136,0.0
ADV2: Request Batching,server_scaling,10,30,77.5325100000676,77.49414999989312,78.35120000072493,78.72490000045218,4.9591064453125e-05,1241,0.0
ADV2: Request Batching,server_scaling,20,30,91.91413666661295,92.9043999994974,94.07180000016524,94.1382999999405,4.9591064453125e-05,1451,0.0
ADV2: Request Batching,server_scaling,30,30,92.7555299999464,92.69614999948317,93.57890000046609,93.72960000018793,4.9591064453125e-05,1661,0.0
ADV2: Request Batching,server_scaling,40,30,92.61591999999534,92.6156999998966,93.40100000008533,93.83780000007391,4.9591064453125e-05,1871,0.0
ADV2: Request Batching,server_scaling,50,30,108.15935000000536,108.06009999987509,109.05269999966549,109.53309999968042,7.62939453125e-05,2081,0.0
ADV3: Predictive Caching,context_scaling,64,30,107.57529666646708,108.0012499996883,108.8778999992428,109.47599999963131,4.9591064453125e-05,1202,0.7
