experiment,strategy,x_value,trials,mean_latency_ms,p95_latency_ms,mean_peak_memory_mb,mean_token_count
context_scaling,baseline,1024,25,170.274,171.364,10.197,149797.0
context_scaling,baseline,128,25,61.720,62.365,1.368,18726.0
context_scaling,baseline,256,25,77.248,78.008,2.626,37450.0
context_scaling,baseline,512,25,97.570,108.023,5.147,74899.0
context_scaling,baseline,64,25,61.896,62.532,0.740,9363.0
context_scaling,optimized,1024,25,93.019,93.684,4.553,52430.0
context_scaling,optimized,128,25,46.486,47.033,0.592,6554.0
context_scaling,optimized,256,25,46.376,47.050,1.157,13108.0
context_scaling,optimized,512,25,62.004,62.648,2.288,26215.0
context_scaling,optimized,64,25,44.500,46.996,0.313,3277.0
server_scaling,baseline,1,25,41.614,46.509,2.514,37450.0
server_scaling,baseline,10,25,61.813,62.508,2.561,37450.0
server_scaling,baseline,20,25,77.232,78.209,2.626,37450.0
server_scaling,baseline,30,25,92.637,93.247,2.692,37450.0
server_scaling,baseline,40,25,122.443,124.266,2.757,37450.0
server_scaling,baseline,5,25,46.337,46.862,2.528,37450.0
server_scaling,baseline,50,25,139.108,139.773,2.823,37450.0
server_scaling,optimized,1,25,30.910,31.327,1.129,13108.0
server_scaling,optimized,10,25,30.886,31.058,1.137,13108.0
server_scaling,optimized,20,25,46.408,47.087,1.157,13108.0
server_scaling,optimized,30,25,61.893,62.572,1.176,13108.0
server_scaling,optimized,40,25,76.036,77.587,1.196,13108.0
server_scaling,optimized,5,25,30.955,31.280,1.130,13108.0
server_scaling,optimized,50,25,77.814,77.955,1.216,13108.0
