experiment,strategy,x_value,trial,context_kb,server_count,latency_ms,peak_memory_mb,token_count
server_scaling,baseline,1,1,256,1,38.405,2.519,37450.0
server_scaling,baseline,1,2,256,1,30.959,2.514,37450.0
server_scaling,baseline,1,3,256,1,46.384,2.514,37450.0
server_scaling,baseline,1,4,256,1,46.405,2.514,37450.0
server_scaling,baseline,1,5,256,1,46.210,2.514,37450.0
server_scaling,baseline,1,6,256,1,46.258,2.514,37450.0
server_scaling,baseline,1,7,256,1,46.509,2.514,37450.0
server_scaling,baseline,1,8,256,1,30.977,2.514,37450.0
server_scaling,baseline,1,9,256,1,45.922,2.514,37450.0
server_scaling,baseline,1,10,256,1,46.400,2.514,37450.0
server_scaling,baseline,1,11,256,1,46.507,2.514,37450.0
server_scaling,baseline,1,12,256,1,46.236,2.514,37450.0
server_scaling,baseline,1,13,256,1,30.562,2.514,37450.0
server_scaling,baseline,1,14,256,1,46.559,2.514,37450.0
server_scaling,baseline,1,15,256,1,45.961,2.514,37450.0
server_scaling,baseline,1,16,256,1,30.620,2.514,37450.0
server_scaling,baseline,1,17,256,1,31.415,2.514,37450.0
server_scaling,baseline,1,18,256,1,46.381,2.514,37450.0
server_scaling,baseline,1,19,256,1,46.159,2.514,37450.0
server_scaling,baseline,1,20,256,1,45.710,2.514,37450.0
server_scaling,baseline,1,21,256,1,30.982,2.514,37450.0
server_scaling,baseline,1,22,256,1,31.028,2.514,37450.0
server_scaling,baseline,1,23,256,1,45.834,2.514,37450.0
server_scaling,baseline,1,24,256,1,45.650,2.514,37450.0
server_scaling,baseline,1,25,256,1,46.320,2.514,37450.0
server_scaling,baseline,5,1,256,5,46.296,2.540,37450.0
server_scaling,baseline,5,2,256,5,46.490,2.528,37450.0
server_scaling,baseline,5,3,256,5,46.290,2.528,37450.0
server_scaling,baseline,5,4,256,5,46.339,2.528,37450.0
server_scaling,baseline,5,5,256,5,46.250,2.528,37450.0
server_scaling,baseline,5,6,256,5,46.216,2.528,37450.0
server_scaling,baseline,5,7,256,5,46.467,2.528,37450.0
server_scaling,baseline,5,8,256,5,46.029,2.528,37450.0
server_scaling,baseline,5,9,256,5,46.367,2.528,37450.0
server_scaling,baseline,5,10,256,5,46.070,2.528,37450.0
server_scaling,baseline,5,11,256,5,46.414,2.528,37450.0
server_scaling,baseline,5,12,256,5,46.357,2.528,37450.0
server_scaling,baseline,5,13,256,5,46.833,2.528,37450.0
server_scaling,baseline,5,14,256,5,46.209,2.528,37450.0
server_scaling,baseline,5,15,256,5,45.963,2.528,37450.0
server_scaling,baseline,5,16,256,5,46.334,2.528,37450.0
server_scaling,baseline,5,17,256,5,46.167,2.528,37450.0
server_scaling,baseline,5,18,256,5,45.605,2.528,37450.0
server_scaling,baseline,5,19,256,5,46.278,2.528,37450.0
server_scaling,baseline,5,20,256,5,46.377,2.528,37450.0
server_scaling,baseline,5,21,256,5,46.278,2.528,37450.0
server_scaling,baseline,5,22,256,5,47.300,2.528,37450.0
server_scaling,baseline,5,23,256,5,46.171,2.528,37450.0
